d	B
DATE0	     1732.
DATE1	     6142.
DATE2	     4655.
DATE3	     3948.
DATE4	     8321.
DATE5	     3695.
DATE6	     8321.
DATE7	     8321.
DATE8	     5191.
DATE9	     8270.
DATE10	    16641.
DATE11	    10417.
DATE12	    14866.
DATE13	     6262.
DATE14	     8321.
DATE15	    15191.
DATE16	     8321.
DATE17	     6614.
DATE18	     3953.
DATE19	     6672.
DATE20	     1864.
DATE21	     5397.
DATE22	    11708.
DATE23	     8321.
DATE24	     2833.
DATE25	     1961.
DATE26	     8321.
DATE27	     8683.
DATE28	     7708.
DATE29	     8964.
DATE30	     8321.
DATE31	     8200.
DATE32	     6165.
DATE33	    11485.
DATE34	     8321.
DATE35	    14174.
DATE36	     2083.
DATE37	     7538.
DATE38	     5710.
DATE39	     1568.
DATE40	     5690.
DATE41	    10018.
DATE42	    10369.
DATE43	     4926.
DATE44	     6390.
DATE45	     1770.
DATE46	    12426.
DATE47	     8599.
DATE48	     9974.
DATE49	    12085.
