d	B
DATE0	    11376.
DATE1	    11805.
DATE2	     5986.
DATE3	     7253.
DATE4	     3015.
DATE5	     8340.
DATE6	     8800.
DATE7	     3600.
DATE8	     6467.
DATE9	     5698.
DATE10	    10474.
DATE11	     7253.
DATE12	     7772.
DATE13	     6339.
DATE14	     6056.
DATE15	     4244.
DATE16	     7253.
DATE17	     7901.
DATE18	     7749.
DATE19	     7112.
DATE20	     5545.
DATE21	     7253.
DATE22	     5149.
DATE23	     8210.
DATE24	     4266.
DATE25	     8952.
DATE26	     5129.
DATE27	     3629.
DATE28	    11145.
DATE29	    14505.
DATE30	     3508.
DATE31	     7253.
DATE32	     7253.
DATE33	     7093.
DATE34	     1721.
DATE35	     5228.
DATE36	     4307.
DATE37	     3894.
DATE38	     1675.
DATE39	      396.
DATE40	     1184.
DATE41	     6323.
DATE42	     2619.
DATE43	     7253.
DATE44	     8357.
DATE45	     7282.
DATE46	     3091.
DATE47	     2420.
DATE48	     2691.
DATE49	     3469.
