d	B
DATE0	     5700.
DATE1	     5004.
DATE2	     2045.
DATE3	     1164.
DATE4	      263.
DATE5	     7736.
DATE6	     6810.
DATE7	     7490.
DATE8	     5004.
DATE9	     3795.
DATE10	     7934.
DATE11	     5004.
DATE12	      598.
DATE13	     6562.
DATE14	     1715.
DATE15	     5004.
DATE16	     4306.
DATE17	     6038.
DATE18	     5004.
DATE19	     5004.
DATE20	    10009.
DATE21	     5004.
DATE22	     8804.
DATE23	     5921.
DATE24	     9508.
DATE25	     1092.
DATE26	     2667.
DATE27	     5004.
DATE28	     5004.
DATE29	     2401.
DATE30	     3410.
DATE31	     5004.
DATE32	     1953.
DATE33	     1941.
DATE34	     5004.
DATE35	     2026.
DATE36	     5004.
DATE37	     3061.
DATE38	     5004.
DATE39	     5877.
DATE40	     5004.
DATE41	     9960.
DATE42	      291.
DATE43	     3370.
DATE44	     5004.
DATE45	     5004.
DATE46	     2653.
DATE47	     2772.
DATE48	     3427.
DATE49	     5867.
