d	B
DATE0	     7764.
DATE1	    10384.
DATE2	     9418.
DATE3	    11467.
DATE4	    20230.
DATE5	    10815.
DATE6	    19074.
DATE7	     6258.
DATE8	    15906.
DATE9	     8941.
DATE10	     6220.
DATE11	    18974.
DATE12	    11452.
DATE13	    16259.
DATE14	      810.
DATE15	    30714.
DATE16	    15357.
DATE17	     4719.
DATE18	    12664.
DATE19	     4645.
DATE20	     5802.
DATE21	    15357.
DATE22	    18556.
DATE23	    15357.
DATE24	     7354.
DATE25	    23405.
DATE26	    15357.
DATE27	    15357.
DATE28	    23519.
DATE29	     2668.
DATE30	     9851.
DATE31	     7734.
DATE32	     6409.
DATE33	     8702.
DATE34	     4056.
DATE35	     2467.
DATE36	    16668.
DATE37	    13259.
DATE38	    10278.
DATE39	     9271.
DATE40	     7719.
DATE41	    19298.
DATE42	     6266.
DATE43	     8973.
DATE44	     7834.
DATE45	    17982.
DATE46	      906.
DATE47	      475.
DATE48	     4814.
DATE49	    15357.
