d	B
DATE0	     4644.
DATE1	    17154.
DATE2	    16939.
DATE3	    12043.
DATE4	     9270.
DATE5	    37103.
DATE6	    45440.
DATE7	    29016.
DATE8	    19883.
DATE9	    21112.
DATE10	    15643.
DATE11	    21456.
DATE12	    22223.
DATE13	    16952.
DATE14	    11719.
DATE15	    19999.
DATE16	    16127.
DATE17	    31621.
DATE18	    10389.
DATE19	    22378.
DATE20	    17295.
DATE21	     6991.
DATE22	    30477.
DATE23	    26566.
DATE24	     9298.
DATE25	    14499.
DATE26	    14035.
DATE27	    25380.
DATE28	     3145.
DATE29	      249.
DATE30	    17791.
DATE31	    10733.
DATE32	    24493.
DATE33	    27165.
DATE34	    19937.
DATE35	    15413.
DATE36	    28159.
DATE37	    28221.
DATE38	     7385.
DATE39	    34597.
DATE40	     7035.
DATE41	     7275.
DATE42	    27715.
DATE43	     5888.
DATE44	    22992.
DATE45	      930.
DATE46	    24902.
DATE47	    30451.
DATE48	    15007.
DATE49	    10046.
DATE50	    37621.
DATE51	    10240.
DATE52	    11094.
DATE53	    23408.
DATE54	    19213.
DATE55	    28438.
DATE56	     8480.
DATE57	    18682.
DATE58	    20246.
DATE59	    35210.
DATE60	    58032.
DATE61	    41418.
DATE62	    16764.
DATE63	    22214.
DATE64	    18847.
DATE65	    17548.
DATE66	    20091.
DATE67	    34540.
DATE68	    11468.
DATE69	    16015.
DATE70	    24118.
DATE71	    32078.
DATE72	     9651.
DATE73	    27967.
DATE74	    29016.
DATE75	    26048.
DATE76	     9320.
DATE77	    26944.
DATE78	    31221.
DATE79	    24693.
DATE80	    26962.
DATE81	    12831.
DATE82	    28749.
DATE83	    39078.
DATE84	     7489.
DATE85	    32471.
DATE86	    25155.
DATE87	    15297.
DATE88	    11480.
DATE89	     6357.
DATE90	    27184.
DATE91	    11334.
DATE92	    28613.
DATE93	    31625.
DATE94	    19827.
DATE95	    10126.
DATE96	     2460.
DATE97	    24486.
DATE98	    29016.
DATE99	    14580.
DATE100	    25728.
DATE101	      289.
DATE102	    20277.
DATE103	    25628.
DATE104	    19452.
DATE105	    23531.
DATE106	    31315.
DATE107	    21528.
DATE108	    27630.
DATE109	    14473.
DATE110	    23866.
DATE111	    34717.
DATE112	     3827.
DATE113	    33914.
DATE114	     9800.
DATE115	    29702.
DATE116	    22774.
DATE117	    29533.
DATE118	     5343.
DATE119	    10026.
DATE120	    34100.
DATE121	     3539.
DATE122	    21509.
DATE123	    24915.
DATE124	    26462.
DATE125	    33906.
DATE126	      116.
DATE127	    13967.
DATE128	    27151.
DATE129	    17636.
DATE130	    16122.
DATE131	     3394.
DATE132	    18371.
DATE133	    19527.
DATE134	    15896.
DATE135	    22590.
DATE136	    27365.
DATE137	    23605.
DATE138	     8982.
DATE139	    27106.
DATE140	    16959.
DATE141	    24529.
DATE142	    31858.
DATE143	    32779.
DATE144	    11204.
DATE145	    24238.
DATE146	    11561.
DATE147	    16029.
DATE148	    17475.
DATE149	    23296.
DATE150	     7948.
DATE151	    29828.
DATE152	     5685.
DATE153	    29914.
DATE154	    31850.
DATE155	    32072.
DATE156	    30560.
DATE157	    18035.
DATE158	    26918.
DATE159	    28666.
DATE160	     3091.
DATE161	    19931.
DATE162	     7170.
DATE163	    30644.
DATE164	    19617.
DATE165	    27827.
DATE166	    21773.
DATE167	    12206.
DATE168	    18327.
DATE169	    32187.
DATE170	    23851.
DATE171	    10083.
DATE172	    22568.
DATE173	    28600.
DATE174	    33837.
DATE175	    29570.
DATE176	    31468.
DATE177	    11540.
DATE178	    12264.
DATE179	    25854.
DATE180	    12988.
DATE181	    10972.
DATE182	    23300.
DATE183	     3961.
DATE184	    16534.
DATE185	    10713.
DATE186	     6745.
DATE187	    32574.
DATE188	    17987.
DATE189	    12583.
DATE190	    31580.
DATE191	    27833.
DATE192	    20086.
DATE193	    19944.
DATE194	    13090.
DATE195	    12501.
DATE196	    10305.
DATE197	    15702.
DATE198	    22557.
DATE199	    16904.
