d	B
DATE0	     3281.
DATE1	    17842.
DATE2	    11425.
DATE3	    11789.
DATE4	    13399.
DATE5	    23433.
DATE6	     5746.
DATE7	    13208.
DATE8	     9280.
DATE9	      143.
DATE10	      640.
DATE11	    14332.
DATE12	    13710.
DATE13	     8935.
DATE14	     4288.
DATE15	     7595.
DATE16	    13435.
DATE17	    11890.
DATE18	     9231.
DATE19	     4383.
DATE20	    11890.
DATE21	    11890.
DATE22	     7645.
DATE23	     4695.
DATE24	    11714.
DATE25	    13469.
DATE26	     2572.
DATE27	     2475.
DATE28	    13355.
DATE29	     2766.
DATE30	    20383.
DATE31	     7054.
DATE32	    11890.
DATE33	     7954.
DATE34	     2745.
DATE35	     4402.
DATE36	     5520.
DATE37	    17551.
DATE38	     8185.
DATE39	    18338.
DATE40	    11157.
DATE41	    12329.
DATE42	     7981.
DATE43	    21821.
DATE44	    11687.
DATE45	    21172.
DATE46	     8587.
DATE47	    14720.
DATE48	     6074.
DATE49	     2175.
DATE50	     6144.
DATE51	     1255.
DATE52	    14565.
DATE53	     2877.
DATE54	    14315.
DATE55	     3108.
DATE56	     3325.
DATE57	    14025.
DATE58	    18720.
DATE59	    23780.
DATE60	     9362.
DATE61	     9334.
DATE62	     9649.
DATE63	    11273.
DATE64	     6243.
DATE65	    17477.
DATE66	     3732.
DATE67	     4219.
DATE68	    13367.
DATE69	     4910.
DATE70	    14723.
DATE71	    13430.
DATE72	    16305.
DATE73	     5068.
DATE74	     5355.
DATE75	      713.
DATE76	     9503.
DATE77	     8185.
DATE78	    20145.
DATE79	     6769.
DATE80	     4432.
DATE81	    14747.
DATE82	     9344.
DATE83	     1158.
DATE84	    14686.
DATE85	     2849.
DATE86	    23589.
DATE87	    12827.
DATE88	     5879.
DATE89	     4440.
DATE90	    11799.
DATE91	    11872.
DATE92	    10170.
DATE93	    11890.
DATE94	     2628.
DATE95	     2852.
DATE96	    13547.
DATE97	     3217.
DATE98	    11890.
DATE99	    16746.
