d	B
DATE0	    12888.
DATE1	    25452.
DATE2	    30997.
DATE3	    16004.
DATE4	     2514.
DATE5	    28021.
DATE6	    11997.
DATE7	    29226.
DATE8	     4268.
DATE9	    15052.
DATE10	     2182.
DATE11	    15611.
DATE12	    26865.
DATE13	    27647.
DATE14	    22402.
DATE15	    17131.
DATE16	    13537.
DATE17	    10995.
DATE18	    15495.
DATE19	    18891.
DATE20	    10501.
DATE21	     6346.
DATE22	    20356.
DATE23	    23684.
DATE24	    17993.
DATE25	     5913.
DATE26	     2149.
DATE27	     4286.
DATE28	    33587.
DATE29	    25073.
DATE30	    28012.
DATE31	    19503.
DATE32	    17588.
DATE33	    24830.
DATE34	    31419.
DATE35	     5974.
DATE36	    25519.
DATE37	    26237.
DATE38	     8298.
DATE39	    22163.
DATE40	    26126.
DATE41	    23012.
DATE42	    32551.
DATE43	    11701.
DATE44	    10167.
DATE45	    18944.
DATE46	    31166.
DATE47	    18450.
DATE48	    19794.
DATE49	    19804.
DATE50	    37726.
DATE51	    46504.
DATE52	    24416.
DATE53	    17821.
DATE54	    13646.
DATE55	    23322.
DATE56	    19092.
DATE57	    34850.
DATE58	      822.
DATE59	    20196.
DATE60	    28196.
DATE61	     2373.
DATE62	    24432.
DATE63	    25518.
DATE64	    23684.
DATE65	     8550.
DATE66	    23684.
DATE67	     2301.
DATE68	     4013.
DATE69	    15461.
DATE70	    13216.
DATE71	    10345.
DATE72	    22994.
DATE73	    15668.
DATE74	     4478.
DATE75	     1765.
DATE76	    26673.
DATE77	    47368.
DATE78	     9880.
DATE79	    13976.
DATE80	    15838.
DATE81	    22096.
DATE82	    17880.
DATE83	     8521.
DATE84	    29927.
DATE85	    26049.
DATE86	    17938.
DATE87	    17287.
DATE88	    13507.
DATE89	    10935.
DATE90	     9434.
DATE91	     6050.
DATE92	    19242.
DATE93	    17555.
DATE94	    24887.
DATE95	     1945.
DATE96	        4.
DATE97	    14804.
DATE98	    12469.
DATE99	    12264.
