d	B
DATE0	    34524.
DATE1	    21984.
DATE2	     6877.
DATE3	    10203.
DATE4	     6982.
DATE5	    31777.
DATE6	    33163.
DATE7	    27948.
DATE8	    21817.
DATE9	    23823.
DATE10	    14723.
DATE11	     7355.
DATE12	    24878.
DATE13	    17961.
DATE14	    13543.
DATE15	    20722.
DATE16	     8568.
DATE17	    46945.
DATE18	    29218.
DATE19	    19507.
DATE20	    11459.
DATE21	    18741.
DATE22	    20344.
DATE23	    11478.
DATE24	    19919.
DATE25	    32380.
DATE26	    44827.
DATE27	    22706.
DATE28	    17751.
DATE29	    34063.
DATE30	     7359.
DATE31	     7516.
DATE32	    30031.
DATE33	     9629.
DATE34	     8712.
DATE35	    16487.
DATE36	    23123.
DATE37	     7260.
DATE38	      317.
DATE39	    13471.
DATE40	    30247.
DATE41	    19149.
DATE42	    13272.
DATE43	    17560.
DATE44	    20967.
DATE45	    16663.
DATE46	    25913.
DATE47	    23295.
DATE48	    33028.
DATE49	     6783.
DATE50	     9952.
DATE51	    14280.
DATE52	    18995.
DATE53	    22290.
DATE54	    24728.
DATE55	     6489.
DATE56	    13195.
DATE57	    12356.
DATE58	    20837.
DATE59	    27140.
DATE60	    18697.
DATE61	    17414.
DATE62	    19622.
DATE63	    18529.
DATE64	    10670.
DATE65	    29568.
DATE66	    17047.
DATE67	    24342.
DATE68	     1280.
DATE69	    32751.
DATE70	    24244.
DATE71	    28574.
DATE72	    12339.
DATE73	    13950.
DATE74	    10995.
DATE75	    24683.
DATE76	    23498.
DATE77	    38791.
DATE78	    35831.
DATE79	    43998.
DATE80	    20987.
DATE81	    27899.
DATE82	    19992.
DATE83	    23503.
DATE84	     3472.
DATE85	    24231.
DATE86	    24944.
DATE87	    29487.
DATE88	    23702.
DATE89	    18346.
DATE90	    21682.
DATE91	    21297.
DATE92	    11790.
DATE93	    14637.
DATE94	    21955.
DATE95	    18237.
DATE96	    22854.
DATE97	    15820.
DATE98	    20065.
DATE99	    29740.
