d	B
DATE0	     7246.
DATE1	    13528.
DATE2	     8116.
DATE3	     4325.
DATE4	     1748.
DATE5	     5149.
DATE6	      913.
DATE7	     1582.
DATE8	     5174.
DATE9	    16232.
DATE10	     8474.
DATE11	     2633.
DATE12	     2048.
DATE13	     2579.
DATE14	     6816.
DATE15	     5738.
DATE16	     6255.
DATE17	     3326.
DATE18	     6213.
DATE19	    10485.
DATE20	     4555.
DATE21	     8116.
DATE22	     5012.
DATE23	    10751.
DATE24	     4349.
DATE25	     8116.
DATE26	    13009.
DATE27	    12195.
DATE28	     7320.
DATE29	     6970.
DATE30	    13903.
DATE31	    11335.
DATE32	     4488.
DATE33	     8116.
DATE34	     5136.
DATE35	    10553.
DATE36	     4557.
DATE37	     8116.
DATE38	    10409.
DATE39	     7446.
DATE40	      948.
DATE41	    11493.
DATE42	    10170.
DATE43	     5024.
DATE44	    10465.
DATE45	    13566.
DATE46	     3935.
DATE47	     8116.
DATE48	    13499.
DATE49	    15697.
