d	B
DATE0	     4955.
DATE1	     7172.
DATE2	     1096.
DATE3	     1269.
DATE4	     3317.
DATE5	     8339.
DATE6	     7172.
DATE7	     4272.
DATE8	     7172.
DATE9	     7172.
DATE10	     6978.
DATE11	     3289.
DATE12	     7172.
DATE13	      140.
DATE14	     5176.
DATE15	     4296.
DATE16	     7172.
DATE17	     3992.
DATE18	     3603.
DATE19	     7172.
DATE20	     7284.
DATE21	      604.
DATE22	      282.
DATE23	     4782.
DATE24	     2266.
DATE25	     7172.
DATE26	     2637.
DATE27	     5950.
DATE28	     7172.
DATE29	     7172.
DATE30	    14344.
DATE31	     7172.
DATE32	     4766.
DATE33	     3368.
DATE34	     2187.
DATE35	     7172.
DATE36	     1751.
DATE37	     4525.
DATE38	     7172.
DATE39	     2747.
DATE40	     2039.
DATE41	     9158.
DATE42	     1404.
DATE43	     8275.
DATE44	     7172.
DATE45	     6417.
DATE46	      951.
DATE47	     1923.
DATE48	     4060.
DATE49	      529.
