d	B
DATE0	    34867.
DATE1	    24302.
DATE2	    30347.
DATE3	    31893.
DATE4	    29876.
DATE5	    32603.
DATE6	    19741.
DATE7	    34542.
DATE8	    30752.
DATE9	    13664.
DATE10	    23398.
DATE11	    28063.
DATE12	    12689.
DATE13	    18505.
DATE14	     9675.
DATE15	    17977.
DATE16	    28104.
DATE17	    19917.
DATE18	    30374.
DATE19	     8959.
DATE20	    12036.
DATE21	    28141.
DATE22	    28501.
DATE23	    33474.
DATE24	    11918.
DATE25	    47042.
DATE26	    22276.
DATE27	    20709.
DATE28	    13514.
DATE29	    12692.
DATE30	    48282.
DATE31	     4066.
DATE32	    12191.
DATE33	    26290.
DATE34	    20216.
DATE35	    28141.
DATE36	    23043.
DATE37	    23462.
DATE38	    54464.
DATE39	    50738.
DATE40	     7760.
DATE41	    34531.
DATE42	    10277.
DATE43	    35919.
DATE44	    37595.
DATE45	    20597.
DATE46	    22641.
DATE47	    37202.
DATE48	    21624.
DATE49	    30396.
DATE50	     9935.
DATE51	    32492.
DATE52	    19371.
DATE53	    33419.
DATE54	    35472.
DATE55	    27316.
DATE56	    17858.
DATE57	    25343.
DATE58	    11425.
DATE59	    26220.
DATE60	    19205.
DATE61	    46828.
DATE62	    43989.
DATE63	    18847.
DATE64	    17167.
DATE65	    32135.
DATE66	     6835.
DATE67	    20612.
DATE68	    21526.
DATE69	    13191.
DATE70	    25720.
DATE71	    56281.
DATE72	    29626.
DATE73	     7073.
DATE74	    20266.
DATE75	    36057.
DATE76	    23990.
DATE77	    14004.
DATE78	    42217.
DATE79	     1521.
DATE80	    26997.
DATE81	    26387.
DATE82	    12217.
DATE83	    14908.
DATE84	    40065.
DATE85	    43043.
DATE86	    42505.
DATE87	    25589.
DATE88	    36779.
DATE89	    18397.
DATE90	    10401.
DATE91	    22531.
DATE92	    12593.
DATE93	    42420.
DATE94	      671.
DATE95	    24168.
DATE96	    31573.
DATE97	    16930.
DATE98	    30434.
DATE99	    22913.
