d	B
DATE0	    18936.
DATE1	     8545.
DATE2	     4903.
DATE3	    10912.
DATE4	    11012.
DATE5	     7068.
DATE6	    17177.
DATE7	       68.
DATE8	     4338.
DATE9	     7649.
DATE10	    10630.
DATE11	      280.
DATE12	    14036.
DATE13	    22222.
DATE14	    11112.
DATE15	     4236.
DATE16	    13446.
DATE17	     8376.
DATE18	     1551.
DATE19	     7780.
DATE20	     3664.
DATE21	     4712.
DATE22	    13446.
DATE23	    12619.
DATE24	     4968.
DATE25	     9559.
DATE26	      380.
DATE27	    15508.
DATE28	    13582.
DATE29	    11223.
DATE30	      325.
DATE31	     6911.
DATE32	     8733.
DATE33	     6815.
DATE34	     1131.
DATE35	     7044.
DATE36	    11962.
DATE37	    12132.
DATE38	    13446.
DATE39	     4525.
DATE40	     9030.
DATE41	     9030.
DATE42	    14334.
DATE43	    13446.
DATE44	     8299.
DATE45	     8491.
DATE46	    14661.
DATE47	    13058.
DATE48	    18343.
DATE49	     8964.
DATE50	     2254.
DATE51	    16473.
DATE52	     3366.
DATE53	     2057.
DATE54	    12489.
DATE55	    13446.
DATE56	     7870.
DATE57	    13446.
DATE58	    14040.
DATE59	     9373.
DATE60	    11873.
DATE61	     8643.
DATE62	     7496.
DATE63	    10629.
DATE64	    13446.
DATE65	    18653.
DATE66	    15334.
DATE67	    18849.
DATE68	     1581.
DATE69	    12316.
DATE70	     3314.
DATE71	    13169.
DATE72	     6393.
DATE73	    22039.
DATE74	     1970.
DATE75	    13446.
DATE76	    13243.
DATE77	     7471.
DATE78	    13446.
DATE79	    21889.
DATE80	    15070.
DATE81	    12113.
DATE82	     7466.
DATE83	    26893.
DATE84	     8577.
DATE85	    12339.
DATE86	     4553.
DATE87	     8688.
DATE88	    17668.
DATE89	     8160.
DATE90	     9200.
DATE91	    15146.
DATE92	     1375.
DATE93	     8235.
DATE94	     9024.
DATE95	     7940.
DATE96	     8785.
DATE97	     4982.
DATE98	    21367.
DATE99	    13606.
