d	B
DATE0	    21873.
DATE1	    34992.
DATE2	    15215.
DATE3	    30202.
DATE4	    42146.
DATE5	    12010.
DATE6	    26175.
DATE7	    29635.
DATE8	    12464.
DATE9	     5717.
DATE10	    28374.
DATE11	    14280.
DATE12	    20408.
DATE13	     3382.
DATE14	    31283.
DATE15	    27837.
DATE16	    15889.
DATE17	    13446.
DATE18	    19463.
DATE19	    52349.
DATE20	     9213.
DATE21	     3249.
DATE22	    16412.
DATE23	    10109.
DATE24	     6008.
DATE25	    18846.
DATE26	    18485.
DATE27	    17894.
DATE28	     5544.
DATE29	    19215.
DATE30	    16555.
DATE31	     6554.
DATE32	    18120.
DATE33	    18426.
DATE34	    20318.
DATE35	    17194.
DATE36	    23183.
DATE37	    30852.
DATE38	     5402.
DATE39	    31412.
DATE40	    16907.
DATE41	    24614.
DATE42	    39940.
DATE43	    17057.
DATE44	    21359.
DATE45	    21691.
DATE46	    20540.
DATE47	     9054.
DATE48	     1461.
DATE49	    21589.
DATE50	    21024.
DATE51	    15502.
DATE52	    25420.
DATE53	    13300.
DATE54	     6370.
DATE55	    19976.
DATE56	    10398.
DATE57	    28114.
DATE58	     7383.
DATE59	    27923.
DATE60	     5256.
DATE61	    21808.
DATE62	    11312.
DATE63	    18455.
DATE64	    19971.
DATE65	     9172.
DATE66	     5250.
DATE67	     8763.
DATE68	     4186.
DATE69	    21944.
DATE70	    21532.
DATE71	    13657.
DATE72	    30927.
DATE73	    26175.
DATE74	    18569.
DATE75	    18927.
DATE76	    15490.
DATE77	    13428.
DATE78	    24937.
DATE79	    19110.
DATE80	    27311.
DATE81	    13722.
DATE82	    26175.
DATE83	    19251.
DATE84	    22000.
DATE85	    14545.
DATE86	    16245.
DATE87	    14299.
DATE88	    14955.
DATE89	    27500.
DATE90	    10497.
DATE91	    12641.
DATE92	    17675.
DATE93	     7509.
DATE94	     7322.
DATE95	    14730.
DATE96	    14744.
DATE97	    20502.
DATE98	    19495.
DATE99	    11295.
DATE100	    16087.
DATE101	    17287.
DATE102	    20891.
DATE103	    12411.
DATE104	    26175.
DATE105	    25110.
DATE106	    22709.
DATE107	    15963.
DATE108	    14794.
DATE109	    38161.
DATE110	    26175.
DATE111	    15426.
DATE112	    20896.
DATE113	    15428.
DATE114	     8350.
DATE115	    13860.
DATE116	    15282.
DATE117	    29627.
DATE118	    22175.
DATE119	    29090.
DATE120	     4002.
DATE121	     4301.
DATE122	    16854.
DATE123	    10665.
DATE124	     8170.
DATE125	    31807.
DATE126	     8681.
DATE127	    26175.
DATE128	    17199.
DATE129	    14385.
DATE130	    16935.
DATE131	    24444.
DATE132	    17839.
DATE133	    13798.
DATE134	     7866.
DATE135	    10985.
DATE136	    10459.
DATE137	    36126.
DATE138	    12233.
DATE139	     5737.
DATE140	    29059.
DATE141	    37992.
DATE142	    11746.
DATE143	       91.
DATE144	    23807.
DATE145	    26175.
DATE146	    25707.
DATE147	    28181.
DATE148	    26175.
DATE149	    16828.
DATE150	    22082.
DATE151	    22846.
DATE152	    14426.
DATE153	    18837.
DATE154	    16350.
DATE155	    20374.
DATE156	    26175.
DATE157	    15579.
DATE158	     4308.
DATE159	    31374.
DATE160	    35673.
DATE161	     7761.
DATE162	     5067.
DATE163	    25085.
DATE164	     5201.
DATE165	     6474.
DATE166	     5167.
DATE167	     2922.
DATE168	    31129.
DATE169	     4696.
DATE170	    26642.
DATE171	    18895.
DATE172	    26175.
DATE173	    23165.
DATE174	     7139.
DATE175	    15697.
DATE176	    19662.
DATE177	    15961.
DATE178	    31985.
DATE179	    17323.
DATE180	     9351.
DATE181	    34552.
DATE182	    11687.
DATE183	      690.
DATE184	    20312.
DATE185	    43297.
DATE186	    22279.
DATE187	    24069.
DATE188	    31822.
DATE189	    17914.
DATE190	    22431.
DATE191	    25397.
DATE192	    22351.
DATE193	    29633.
DATE194	    26132.
DATE195	    10424.
DATE196	    19155.
DATE197	     3698.
DATE198	     3362.
DATE199	    18275.
