d	B
DATE0	    32212.
DATE1	    18319.
DATE2	    35898.
DATE3	    18740.
DATE4	    27432.
DATE5	    20383.
DATE6	    24798.
DATE7	    31256.
DATE8	    35880.
DATE9	     5780.
DATE10	    15789.
DATE11	    13423.
DATE12	    14820.
DATE13	    21175.
DATE14	    31742.
DATE15	    18973.
DATE16	     6358.
DATE17	    33731.
DATE18	    17866.
DATE19	    14969.
DATE20	     1700.
DATE21	    10492.
DATE22	    22196.
DATE23	     6804.
DATE24	    22885.
DATE25	    22491.
DATE26	     4312.
DATE27	    26982.
DATE28	    22040.
DATE29	    34091.
DATE30	     5350.
DATE31	    14605.
DATE32	    29413.
DATE33	    25796.
DATE34	    23984.
DATE35	     1175.
DATE36	    12648.
DATE37	    27887.
DATE38	    23984.
DATE39	     5941.
DATE40	    22967.
DATE41	    29263.
DATE42	    19774.
DATE43	     5236.
DATE44	    33748.
DATE45	    18182.
DATE46	     2492.
DATE47	    21012.
DATE48	    30027.
DATE49	    43422.
DATE50	    10254.
DATE51	     4850.
DATE52	    19053.
DATE53	    36803.
DATE54	    13790.
DATE55	    11308.
DATE56	    18395.
DATE57	    30231.
DATE58	    30776.
DATE59	    31802.
DATE60	    22551.
DATE61	    25537.
DATE62	    17873.
DATE63	     6810.
DATE64	    23984.
DATE65	    45644.
DATE66	    16883.
DATE67	     9333.
DATE68	     9851.
DATE69	    34518.
DATE70	    20347.
DATE71	    15343.
DATE72	     3445.
DATE73	    21166.
DATE74	     6294.
DATE75	    33773.
DATE76	    20306.
DATE77	    13664.
DATE78	    18859.
DATE79	    26722.
DATE80	    22340.
DATE81	    22460.
DATE82	     9328.
DATE83	    13509.
DATE84	     9019.
DATE85	    30395.
DATE86	    37353.
DATE87	    25213.
DATE88	    17842.
DATE89	    35769.
DATE90	    25268.
DATE91	    26440.
DATE92	     4855.
DATE93	    13017.
DATE94	    10979.
DATE95	    24865.
DATE96	    15738.
DATE97	    23156.
DATE98	     7861.
DATE99	    14909.
DATE100	    24085.
DATE101	     7039.
DATE102	    16064.
DATE103	    28480.
DATE104	     9590.
DATE105	    31350.
DATE106	    28454.
DATE107	    39004.
DATE108	    34079.
DATE109	    13092.
DATE110	     8464.
DATE111	     4990.
DATE112	    28942.
DATE113	    28391.
DATE114	    15176.
DATE115	    37331.
DATE116	    14135.
DATE117	    11582.
DATE118	    23358.
DATE119	    21157.
DATE120	    14374.
DATE121	    38274.
DATE122	    17643.
DATE123	    10111.
DATE124	    19088.
DATE125	    25834.
DATE126	    40419.
DATE127	    20802.
DATE128	    31326.
DATE129	    35005.
DATE130	    23984.
DATE131	    22122.
DATE132	    40265.
DATE133	    22472.
DATE134	    20729.
DATE135	    25345.
DATE136	    37120.
DATE137	    11245.
DATE138	    23984.
DATE139	    20715.
DATE140	    22460.
DATE141	    14984.
DATE142	    25547.
DATE143	    14804.
DATE144	    25170.
DATE145	    45114.
DATE146	    29866.
DATE147	    21033.
DATE148	    29028.
DATE149	    28702.
DATE150	    31069.
DATE151	    19696.
DATE152	    20965.
DATE153	    17989.
DATE154	     4951.
DATE155	    25096.
DATE156	    37050.
DATE157	    23984.
DATE158	    20708.
DATE159	    35974.
DATE160	    21384.
DATE161	    17809.
DATE162	    30781.
DATE163	    24360.
DATE164	     1796.
DATE165	     9857.
DATE166	    39265.
DATE167	    16314.
DATE168	    17346.
DATE169	    19035.
DATE170	    17028.
DATE171	    25379.
DATE172	    14931.
DATE173	    16621.
DATE174	    16010.
DATE175	    10318.
DATE176	    18448.
DATE177	    32029.
DATE178	    25846.
DATE179	    47968.
DATE180	    14038.
DATE181	    15377.
DATE182	    15830.
DATE183	    33689.
DATE184	    13783.
DATE185	    15427.
DATE186	    17092.
DATE187	    24739.
DATE188	    27267.
DATE189	    31624.
DATE190	    32002.
DATE191	    23166.
DATE192	    36352.
DATE193	    33980.
DATE194	    26560.
DATE195	    12921.
DATE196	    18247.
DATE197	    23984.
DATE198	    42014.
DATE199	    33772.
