d	B
DATE0	     2044.
DATE1	     9108.
DATE2	     5382.
DATE3	     1463.
DATE4	    10409.
DATE5	    10409.
DATE6	    10515.
DATE7	    10409.
DATE8	     1780.
DATE9	       96.
DATE10	    11577.
DATE11	      829.
DATE12	    10409.
DATE13	     3093.
DATE14	    10409.
DATE15	     8735.
DATE16	    11208.
DATE17	    14753.
DATE18	     7893.
DATE19	     4548.
DATE20	     6370.
DATE21	    10409.
DATE22	    10409.
DATE23	     2545.
DATE24	    10409.
DATE25	    10725.
DATE26	      226.
DATE27	     7437.
DATE28	    14554.
DATE29	    20819.
DATE30	      307.
DATE31	     3329.
DATE32	    10409.
DATE33	    14762.
DATE34	    10409.
DATE35	     8578.
DATE36	    17057.
DATE37	    10503.
DATE38	    10409.
DATE39	      528.
DATE40	    11850.
DATE41	    10145.
DATE42	      680.
DATE43	     4791.
DATE44	    12189.
DATE45	      520.
DATE46	     8087.
DATE47	     4750.
DATE48	    14444.
DATE49	      608.
