d	B
DATE0	    10337.
DATE1	     3362.
DATE2	    19629.
DATE3	     9955.
DATE4	    13271.
DATE5	     8551.
DATE6	    19227.
DATE7	    17162.
DATE8	     7333.
DATE9	    10597.
DATE10	    18885.
DATE11	     7346.
DATE12	    18935.
DATE13	    15460.
DATE14	     1349.
DATE15	    15411.
DATE16	    16344.
DATE17	    12639.
DATE18	     5504.
DATE19	    14733.
DATE20	     2196.
DATE21	     8305.
DATE22	    15733.
DATE23	    13196.
DATE24	     9796.
DATE25	     3105.
DATE26	     1142.
DATE27	    17040.
DATE28	    12425.
DATE29	    14949.
DATE30	     2060.
DATE31	    20867.
DATE32	    25827.
DATE33	     2847.
DATE34	    12424.
DATE35	    14806.
DATE36	     7929.
DATE37	    10419.
DATE38	     5208.
DATE39	    13475.
DATE40	     7073.
DATE41	    23122.
DATE42	    14690.
DATE43	    19621.
DATE44	    15193.
DATE45	     4184.
DATE46	    22464.
DATE47	     4452.
DATE48	    26543.
DATE49	    23975.
