d	B
DATE0	     4127.
DATE1	     5501.
DATE2	     6557.
DATE3	     3530.
DATE4	     1088.
DATE5	    10074.
DATE6	     3452.
DATE7	     2797.
DATE8	    11003.
DATE9	     5501.
DATE10	     5813.
DATE11	     4104.
DATE12	     4816.
DATE13	     2118.
DATE14	     7673.
DATE15	     5081.
DATE16	     1972.
DATE17	     1215.
DATE18	     4827.
DATE19	     5501.
DATE20	     5501.
DATE21	     5501.
DATE22	     3888.
DATE23	     3497.
DATE24	     1957.
DATE25	     3416.
DATE26	     5501.
DATE27	     5501.
DATE28	     5501.
DATE29	     3506.
DATE30	     8639.
DATE31	     5501.
DATE32	     5501.
DATE33	     4430.
DATE34	     8689.
DATE35	     5501.
DATE36	     5983.
DATE37	     5501.
DATE38	     5501.
DATE39	     7017.
DATE40	     5501.
DATE41	     5501.
DATE42	     5501.
DATE43	     5501.
DATE44	     5501.
DATE45	     5996.
DATE46	      171.
DATE47	     5501.
DATE48	     3212.
DATE49	     5501.
