d	B
DATE0	     6820.
DATE1	    19093.
DATE2	    12158.
DATE3	    17730.
DATE4	    10689.
DATE5	     7309.
DATE6	     6315.
DATE7	     5673.
DATE8	     3325.
DATE9	     8868.
DATE10	    12613.
DATE11	     4425.
DATE12	    17708.
DATE13	     6120.
DATE14	    20245.
DATE15	     3561.
DATE16	     5262.
DATE17	     9370.
DATE18	    16170.
DATE19	    14795.
DATE20	     8292.
DATE21	    11268.
DATE22	     9185.
DATE23	    12613.
DATE24	    11577.
DATE25	     3109.
DATE26	     8158.
DATE27	     7688.
DATE28	    15458.
DATE29	    16487.
DATE30	    13504.
DATE31	     9820.
DATE32	    11661.
DATE33	     5243.
DATE34	     7675.
DATE35	     9666.
DATE36	     6630.
DATE37	     2416.
DATE38	    20829.
DATE39	    11506.
DATE40	     4643.
DATE41	      865.
DATE42	    19665.
DATE43	     6687.
DATE44	     2821.
DATE45	    13946.
DATE46	     2447.
DATE47	    12613.
DATE48	     9504.
DATE49	    16062.
DATE50	    13747.
DATE51	    15720.
DATE52	     3370.
DATE53	     4496.
DATE54	    16784.
DATE55	    22024.
DATE56	    10631.
DATE57	     9017.
DATE58	    12613.
DATE59	     6947.
DATE60	    10441.
DATE61	     2090.
DATE62	    13843.
DATE63	    11539.
DATE64	    12613.
DATE65	     5729.
DATE66	     5144.
DATE67	    12613.
DATE68	     8161.
DATE69	     1718.
DATE70	     3665.
DATE71	     1334.
DATE72	    12613.
DATE73	      229.
DATE74	     9190.
DATE75	      963.
DATE76	    13061.
DATE77	    22199.
DATE78	    10355.
DATE79	    12613.
DATE80	    12395.
DATE81	     6862.
DATE82	    12613.
DATE83	     6568.
DATE84	    13550.
DATE85	    10863.
DATE86	    11637.
DATE87	     6674.
DATE88	     8128.
DATE89	    13882.
DATE90	     7374.
DATE91	     5157.
DATE92	    17851.
DATE93	    25225.
DATE94	     7678.
DATE95	     1268.
DATE96	     5044.
DATE97	     1365.
DATE98	     7640.
DATE99	     3683.
