d	B
DATE0	    14415.
DATE1	    19925.
DATE2	    14030.
DATE3	    16627.
DATE4	     9694.
DATE5	    18523.
DATE6	    33541.
DATE7	    14949.
DATE8	    38019.
DATE9	     3260.
DATE10	    11758.
DATE11	    20420.
DATE12	    28345.
DATE13	    13175.
DATE14	    22401.
DATE15	    22872.
DATE16	    19002.
DATE17	    20550.
DATE18	    16714.
DATE19	    12371.
DATE20	    33570.
DATE21	     6083.
DATE22	     9917.
DATE23	    19714.
DATE24	    28210.
DATE25	     6778.
DATE26	     7725.
DATE27	    12673.
DATE28	    15281.
DATE29	    14608.
DATE30	    34206.
DATE31	     9183.
DATE32	    20334.
DATE33	    20324.
DATE34	    20512.
DATE35	    23777.
DATE36	    18264.
DATE37	    22080.
DATE38	    11839.
DATE39	    23498.
DATE40	    19009.
DATE41	    31632.
DATE42	    28651.
DATE43	    25941.
DATE44	    19616.
DATE45	    10254.
DATE46	     6347.
DATE47	    19916.
DATE48	     1746.
DATE49	    29317.
DATE50	    11382.
DATE51	     9329.
DATE52	    13625.
DATE53	     3174.
DATE54	    19009.
DATE55	    29275.
DATE56	    28821.
DATE57	    23981.
DATE58	     9246.
DATE59	    26613.
DATE60	    11100.
DATE61	     1695.
DATE62	      929.
DATE63	    28683.
DATE64	    22247.
DATE65	      101.
DATE66	    14599.
DATE67	    29642.
DATE68	    21611.
DATE69	    20820.
DATE70	    13921.
DATE71	     6445.
DATE72	    17624.
DATE73	    23888.
DATE74	     3300.
DATE75	    15542.
DATE76	    14631.
DATE77	    13695.
DATE78	    12060.
DATE79	    21734.
DATE80	    34605.
DATE81	    19009.
DATE82	     5841.
DATE83	    28786.
DATE84	    27648.
DATE85	    15433.
DATE86	    23956.
DATE87	    20226.
DATE88	    15335.
DATE89	     8728.
DATE90	    22874.
DATE91	    12787.
DATE92	    11946.
DATE93	    18810.
DATE94	     8447.
DATE95	     6030.
DATE96	     5047.
DATE97	    25345.
DATE98	    21462.
DATE99	    26914.
