d	B
DATE0	    14997.
DATE1	    19528.
DATE2	    10399.
DATE3	     6972.
DATE4	     5779.
DATE5	    11217.
DATE6	     3507.
DATE7	    11639.
DATE8	    10399.
DATE9	    20771.
DATE10	     6250.
DATE11	     4361.
DATE12	    11697.
DATE13	     3446.
DATE14	     5982.
DATE15	     9144.
DATE16	     6570.
DATE17	    10399.
DATE18	    13027.
DATE19	     7329.
DATE20	     5396.
DATE21	     2250.
DATE22	     9924.
DATE23	     6442.
DATE24	     8155.
DATE25	      941.
DATE26	     2840.
DATE27	    18080.
DATE28	    13839.
DATE29	     7202.
DATE30	    13263.
DATE31	    11065.
DATE32	    10399.
DATE33	    10399.
DATE34	    13888.
DATE35	     6841.
DATE36	     7013.
DATE37	    10399.
DATE38	    20798.
DATE39	     9479.
DATE40	     4713.
DATE41	    16507.
DATE42	    19104.
DATE43	     8249.
DATE44	    10725.
DATE45	    12894.
DATE46	    10399.
DATE47	    10399.
DATE48	    13896.
DATE49	    12181.
