d	B
DATE0	     1358.
DATE1	    23827.
DATE2	    28826.
DATE3	     5716.
DATE4	    27696.
DATE5	    29018.
DATE6	    27934.
DATE7	    43330.
DATE8	    35054.
DATE9	    13385.
DATE10	    38688.
DATE11	    10068.
DATE12	    26829.
DATE13	    31451.
DATE14	    23392.
DATE15	    26124.
DATE16	    14342.
DATE17	    46723.
DATE18	    16710.
DATE19	    19168.
DATE20	    23579.
DATE21	     8425.
DATE22	    24164.
DATE23	    19679.
DATE24	    11770.
DATE25	    18265.
DATE26	    23579.
DATE27	    31474.
DATE28	    25103.
DATE29	    10420.
DATE30	    20357.
DATE31	    16689.
DATE32	    27700.
DATE33	    33595.
DATE34	    25145.
DATE35	    33003.
DATE36	    16907.
DATE37	     9722.
DATE38	    19892.
DATE39	    36158.
DATE40	     3919.
DATE41	     8955.
DATE42	    29599.
DATE43	     8629.
DATE44	    18167.
DATE45	    18523.
DATE46	    15534.
DATE47	    23579.
DATE48	    45699.
DATE49	     8333.
DATE50	     4065.
DATE51	    11222.
DATE52	    35163.
DATE53	    14160.
DATE54	    17536.
DATE55	    29790.
DATE56	    17195.
DATE57	    12923.
DATE58	    20450.
DATE59	    26881.
DATE60	    29080.
DATE61	     9846.
DATE62	     7425.
DATE63	    11641.
DATE64	    30190.
DATE65	    24091.
DATE66	     4585.
DATE67	     7938.
DATE68	    26899.
DATE69	    29369.
DATE70	    17118.
DATE71	    11288.
DATE72	    14482.
DATE73	     1562.
DATE74	     5829.
DATE75	    18483.
DATE76	    23579.
DATE77	    22353.
DATE78	    23579.
DATE79	    13459.
DATE80	    34324.
DATE81	    19095.
DATE82	    37982.
DATE83	    17527.
DATE84	    11999.
DATE85	     3983.
DATE86	    41236.
DATE87	    23579.
DATE88	    32153.
DATE89	    17538.
DATE90	     3264.
DATE91	    24472.
DATE92	    20323.
DATE93	    14392.
DATE94	    13396.
DATE95	    31539.
DATE96	     8037.
DATE97	    18924.
DATE98	    35706.
DATE99	    22288.
DATE100	    24224.
DATE101	    23579.
DATE102	    44190.
DATE103	    23579.
DATE104	    21500.
DATE105	    17242.
DATE106	    13179.
DATE107	     8429.
DATE108	    21208.
DATE109	    18504.
DATE110	     3988.
DATE111	    24904.
DATE112	    18170.
DATE113	     5798.
DATE114	     2552.
DATE115	    20329.
DATE116	     9518.
DATE117	    27678.
DATE118	    15919.
DATE119	    15539.
DATE120	    20976.
DATE121	     5791.
DATE122	    10480.
DATE123	    47158.
DATE124	    26445.
DATE125	    13786.
DATE126	     4562.
DATE127	    16549.
DATE128	    17983.
DATE129	    26842.
DATE130	     7647.
DATE131	    11114.
DATE132	    26639.
DATE133	     9906.
DATE134	    17928.
DATE135	     6080.
DATE136	    23579.
DATE137	    18716.
DATE138	    26580.
DATE139	    32542.
DATE140	    26068.
DATE141	    19496.
DATE142	     5073.
DATE143	    28112.
DATE144	    14660.
DATE145	    23579.
DATE146	    12575.
DATE147	    30893.
DATE148	    15134.
DATE149	    12382.
DATE150	     6508.
DATE151	     1572.
DATE152	    12149.
DATE153	    25846.
DATE154	    18110.
DATE155	    18644.
DATE156	    17653.
DATE157	     8679.
DATE158	    10108.
DATE159	    29990.
DATE160	     5413.
DATE161	     6564.
DATE162	    23637.
DATE163	    20145.
DATE164	    39037.
DATE165	    29293.
DATE166	     3114.
DATE167	    18699.
DATE168	    17473.
DATE169	    23579.
DATE170	    23865.
DATE171	    21573.
DATE172	    34018.
DATE173	    31783.
DATE174	    32506.
DATE175	     4566.
DATE176	    23997.
DATE177	    14623.
DATE178	    19188.
DATE179	    19526.
DATE180	    26659.
DATE181	    12802.
DATE182	    13831.
DATE183	     3276.
DATE184	    18119.
DATE185	    34360.
DATE186	      165.
DATE187	    26046.
DATE188	     6392.
DATE189	    19933.
DATE190	     8725.
DATE191	    23579.
DATE192	    21427.
DATE193	    14342.
DATE194	     2954.
DATE195	    14060.
DATE196	     7925.
DATE197	     9574.
DATE198	    21507.
DATE199	    35215.
