d	B
DATE0	    16736.
DATE1	     6899.
DATE2	    36253.
DATE3	     4893.
DATE4	    36086.
DATE5	     6604.
DATE6	    32335.
DATE7	    11629.
DATE8	    28654.
DATE9	    22020.
DATE10	     7152.
DATE11	    23229.
DATE12	    24739.
DATE13	     8311.
DATE14	    20564.
DATE15	    17484.
DATE16	     5041.
DATE17	    41920.
DATE18	    11609.
DATE19	    26474.
DATE20	    11448.
DATE21	     1632.
DATE22	    26954.
DATE23	    40550.
DATE24	    19890.
DATE25	    14734.
DATE26	    21160.
DATE27	     7600.
DATE28	    25203.
DATE29	     9340.
DATE30	    31933.
DATE31	    40258.
DATE32	    32184.
DATE33	    12287.
DATE34	    18869.
DATE35	     7218.
DATE36	    19238.
DATE37	     2280.
DATE38	    18285.
DATE39	    19013.
DATE40	    21160.
DATE41	    17465.
DATE42	    29350.
DATE43	    17196.
DATE44	     6969.
DATE45	     3697.
DATE46	    13817.
DATE47	     3263.
DATE48	    42319.
DATE49	     9925.
DATE50	    16313.
DATE51	     8409.
DATE52	    10228.
DATE53	    23055.
DATE54	    10752.
DATE55	    21160.
DATE56	    19085.
DATE57	    22077.
DATE58	    24601.
DATE59	    22027.
DATE60	    17017.
DATE61	    21160.
DATE62	    37117.
DATE63	    37744.
DATE64	     6518.
DATE65	    23409.
DATE66	     8109.
DATE67	     7585.
DATE68	    10221.
DATE69	    25965.
DATE70	    21160.
DATE71	    13604.
DATE72	    24936.
DATE73	    19258.
DATE74	    16203.
DATE75	    10277.
DATE76	    10848.
DATE77	    18206.
DATE78	     9867.
DATE79	     6674.
DATE80	    26955.
DATE81	    14849.
DATE82	    26497.
DATE83	    17723.
DATE84	    20712.
DATE85	    36089.
DATE86	    16393.
DATE87	    22701.
DATE88	    24027.
DATE89	    23147.
DATE90	     4259.
DATE91	    27328.
DATE92	    14903.
DATE93	    14596.
DATE94	     8645.
DATE95	    19600.
DATE96	    32112.
DATE97	    21417.
DATE98	    19222.
DATE99	    26359.
