d	B
DATE0	    11707.
DATE1	     7926.
DATE2	    11707.
DATE3	     3885.
DATE4	     3400.
DATE5	    11707.
DATE6	    22498.
DATE7	     9473.
DATE8	    20401.
DATE9	     4048.
DATE10	    14091.
DATE11	    15721.
DATE12	     8522.
DATE13	     5819.
DATE14	     7714.
DATE15	     1849.
DATE16	     3569.
DATE17	    23414.
DATE18	     1212.
DATE19	    12316.
DATE20	     5134.
DATE21	     4760.
DATE22	     6221.
DATE23	    12461.
DATE24	    15141.
DATE25	    10137.
DATE26	    11707.
DATE27	     3879.
DATE28	    11862.
DATE29	    15221.
DATE30	    10220.
DATE31	     7153.
DATE32	    11949.
DATE33	     5234.
DATE34	    11707.
DATE35	    14126.
DATE36	    11707.
DATE37	    14749.
DATE38	     7335.
DATE39	    11918.
DATE40	    14393.
DATE41	     3521.
DATE42	    11578.
DATE43	    11364.
DATE44	    12520.
DATE45	      630.
DATE46	    15756.
DATE47	     4035.
DATE48	    15636.
DATE49	     4285.
DATE50	    11707.
DATE51	     7674.
DATE52	    11305.
DATE53	    11707.
DATE54	    15635.
DATE55	    10686.
DATE56	    13243.
DATE57	    14696.
DATE58	    11637.
DATE59	    14978.
DATE60	     8902.
DATE61	     2822.
DATE62	     2140.
DATE63	     3955.
DATE64	     4950.
DATE65	    11707.
DATE66	     3319.
DATE67	     8883.
DATE68	      176.
DATE69	     2224.
DATE70	    14878.
DATE71	    11769.
DATE72	    10043.
DATE73	    11707.
DATE74	     2216.
DATE75	    11707.
DATE76	     2191.
DATE77	     4246.
DATE78	    15285.
DATE79	     3754.
DATE80	    22925.
DATE81	      884.
DATE82	    11707.
DATE83	      512.
DATE84	    11707.
DATE85	     7252.
DATE86	    11383.
DATE87	    10366.
DATE88	    14800.
DATE89	     6436.
DATE90	     8320.
DATE91	    16371.
DATE92	    16241.
DATE93	     6782.
DATE94	    11707.
DATE95	    13900.
DATE96	    14344.
DATE97	    20077.
DATE98	    11566.
DATE99	     6224.
