d	B
DATE0	    12161.
DATE1	    12220.
DATE2	    17779.
DATE3	    15199.
DATE4	    28563.
DATE5	    14293.
DATE6	     8117.
DATE7	    26687.
DATE8	     7686.
DATE9	    24614.
DATE10	    27392.
DATE11	     2425.
DATE12	    17224.
DATE13	     2842.
DATE14	     8655.
DATE15	     5872.
DATE16	     5877.
DATE17	    17027.
DATE18	    13391.
DATE19	     6796.
DATE20	     9862.
DATE21	     1300.
DATE22	    33574.
DATE23	    23097.
DATE24	     1164.
DATE25	     6196.
DATE26	    24789.
DATE27	    21485.
DATE28	    31495.
DATE29	    15390.
DATE30	    30194.
DATE31	    28556.
DATE32	    16787.
DATE33	     5191.
DATE34	    20451.
DATE35	     1173.
DATE36	    11207.
DATE37	    22055.
DATE38	    13200.
DATE39	    25163.
DATE40	     4469.
DATE41	    19280.
DATE42	    20803.
DATE43	    19494.
DATE44	    28948.
DATE45	    10652.
DATE46	     4770.
DATE47	    33414.
DATE48	    16087.
DATE49	     9177.
DATE50	     7376.
DATE51	     2270.
DATE52	    16787.
DATE53	    15534.
DATE54	    27674.
DATE55	    10881.
DATE56	    21240.
DATE57	    16787.
DATE58	     3667.
DATE59	    16787.
DATE60	      970.
DATE61	    22177.
DATE62	     8525.
DATE63	     5504.
DATE64	     4722.
DATE65	    13059.
DATE66	     9167.
DATE67	     8871.
DATE68	    21974.
DATE69	    21037.
DATE70	    12418.
DATE71	    23779.
DATE72	    30616.
DATE73	     4813.
DATE74	    27038.
DATE75	    14409.
DATE76	    29511.
DATE77	    12252.
DATE78	    20011.
DATE79	     7520.
DATE80	     2811.
DATE81	    13753.
DATE82	    13514.
DATE83	    24095.
DATE84	    16449.
DATE85	    13534.
DATE86	    15190.
DATE87	    16447.
DATE88	    23481.
DATE89	     8629.
DATE90	     1142.
DATE91	    16787.
DATE92	    11136.
DATE93	     6424.
DATE94	     2537.
DATE95	    16651.
DATE96	    10287.
DATE97	      738.
DATE98	    30646.
DATE99	    14170.
DATE100	     2048.
DATE101	    14292.
DATE102	    16586.
DATE103	     1328.
DATE104	    21357.
DATE105	    17676.
DATE106	     7117.
DATE107	     6622.
DATE108	     9401.
DATE109	    19769.
DATE110	     5742.
DATE111	    16787.
DATE112	     1375.
DATE113	    21477.
DATE114	    18092.
DATE115	     5612.
DATE116	    12398.
DATE117	    15674.
DATE118	    13407.
DATE119	    11382.
DATE120	    11575.
DATE121	     1470.
DATE122	    14584.
DATE123	     3744.
DATE124	    21414.
DATE125	    23624.
DATE126	    11985.
DATE127	     9723.
DATE128	    16787.
DATE129	     7015.
DATE130	    19984.
DATE131	    15575.
DATE132	     3955.
DATE133	     4586.
DATE134	     6798.
DATE135	     6464.
DATE136	    16787.
DATE137	    25391.
DATE138	    15836.
DATE139	     6795.
DATE140	     7773.
DATE141	    24006.
DATE142	    15316.
DATE143	    10816.
DATE144	    16363.
DATE145	    17883.
DATE146	    13621.
DATE147	     3834.
DATE148	    11556.
DATE149	     1690.
DATE150	    19316.
DATE151	     3212.
DATE152	     3527.
DATE153	    23529.
DATE154	    25916.
DATE155	    27714.
DATE156	    16787.
DATE157	    17762.
DATE158	    14852.
DATE159	    19771.
DATE160	    14509.
DATE161	    13853.
DATE162	    27968.
DATE163	    21058.
DATE164	    18789.
DATE165	    27600.
DATE166	    23596.
DATE167	    16207.
DATE168	     1108.
DATE169	    16787.
DATE170	    21808.
DATE171	     7916.
DATE172	     9265.
DATE173	    15844.
DATE174	     8314.
DATE175	    15862.
DATE176	     1908.
DATE177	    15477.
DATE178	    10387.
DATE179	     4742.
DATE180	    10732.
DATE181	    14191.
DATE182	    11487.
DATE183	    16787.
DATE184	    21880.
DATE185	     8395.
DATE186	    22922.
DATE187	    15133.
DATE188	    15433.
DATE189	    14694.
DATE190	     3723.
DATE191	    16432.
DATE192	    18472.
DATE193	     1358.
DATE194	     7476.
DATE195	     7525.
DATE196	    18477.
DATE197	    19994.
DATE198	     6686.
DATE199	     5205.
